trace,level,rho_target,k,metric,policy,wait,gain,gain_lo,gain_hi,red_pct,red_lo,red_hi
primary,1,0.8,5.0,mean,CAP-G600-top1short,6.249042709029058,-0.6525764870808348,-0.731779604378181,-0.6051809689292578,-50.20956283461538,-54.01782345969416,-47.21555179577022
primary,2,1.0,4.0,p99dl,FCFS,273.4973870696509,0.0,0.0,0.0,0.0,0.0,0.0
primary,2,1.0,4.0,p99dl,SJF-ref,43.62918621748691,1.0,1.0,1.0,84.0146890760399,79.63688870033363,86.8301502202595
primary,2,1.0,4.0,p99dl,SPJF-M4,67.28707011371876,0.896742446805334,0.8720737068559842,0.9133352844014703,75.34455316132384,70.19021660134877,78.54564249195396
primary,2,1.0,4.0,p99dl,SPJF-M4refit,67.35510936126124,0.896442844643698,0.8713174596682386,0.9132301912437584,75.31945408606161,70.12505884203692,78.5300077619382
primary,2,1.0,4.0,p99dl,SPJF-tweedie,62.91111044079092,0.9158820766619472,0.8914889377169091,0.9289090378319036,76.95108113155956,71.57005802664963,80.19265064648253
primary,2,1.0,4.0,p99dl,SPJF-tweedie_itr,63.22927640244393,0.9145229256341055,0.8908982524145495,0.9276707019452808,76.83655034924968,71.46384423213884,80.08452739001123
primary,2,1.0,4.0,p99dl,SPJF-r1s,62.71025308579233,0.9168000398511712,0.8951782193216173,0.9292787904009505,77.02786679129332,71.65050446458433,80.29462838811934
primary,2,1.0,4.0,p99dl,FIX-G300,170.13809084102613,0.44955170041597936,0.3630342944093435,0.6180462739350476,37.77002376355664,30.90303972056977,49.92256535482389
primary,2,1.0,4.0,p99dl,FIXSEL-G300,224.46418794587356,0.2135921475213855,0.14734583215890154,0.3571758339953695,17.94283006290189,12.453925260596263,28.732119163218595
primary,2,1.0,4.0,p99dl,CAP-G300,164.36956799879803,0.47416246700513315,0.3787760270759244,0.6000696115353799,39.84451397451134,32.37117772546169,48.34453428898023
primary,2,1.0,4.0,p99dl,HYB-G300,170.48923540875467,0.4478120239259596,0.3614397387922642,0.6043807871670002,37.626625373791875,30.737996143642107,48.67787227015196
primary,2,1.0,4.0,p99dl,SKIP-G300,273.145440235549,0.0014472312989813332,-0.0012958768699537235,0.0029899444405048726,0.122641407396473,-0.10911026060691213,0.24636742493479138
primary,2,1.0,4.0,p99dl,FIX-G600,86.6444722193485,0.8126279170581556,0.776532539845367,0.8508566077358098,68.27633250098472,64.7080032359756,70.62565015956359
primary,2,1.0,4.0,p99dl,FIXSEL-G600,116.95972044482933,0.6811302487362096,0.5967094095290134,0.7624421765564743,57.22458849642038,51.006379613570736,61.56867940547691
primary,2,1.0,4.0,p99dl,CAP-G600,89.60696423277301,0.7997175004802166,0.7636131663030309,0.8403695441832958,67.19230993858861,63.46384742280373,69.84207145434637
primary,2,1.0,4.0,p99dl,HYB-G600,91.20853965520932,0.7925738021533458,0.7570571485503386,0.8323694795614786,66.59458776694467,62.79127005153823,69.32016609520221
primary,2,1.0,4.0,p99dl,SKIP-G600,272.93778113186437,0.0023598614033384256,-0.003595706723503994,0.006248931766827065,0.19905459546836882,-0.2921682219896949,0.5251516710179222
primary,2,1.0,4.0,p99dl,FIX-G1200,73.06201884463448,0.8717923927438195,0.8463304473261117,0.8927687075598316,73.24632032592245,68.80847723822828,75.85760692505983
primary,2,1.0,4.0,p99dl,FIXSEL-G1200,83.27749924406446,0.8272318232244533,0.7970213478653515,0.8602680301156509,69.50401296993,65.90546050226865,71.84285577239251
primary,2,1.0,4.0,p99dl,CAP-G1200,73.14714777234971,0.8713620028752546,0.8473804574993751,0.8915422398618463,73.21106008600968,68.70007173972463,75.92094351873416
