policy,family,worst_gap,worst_harm,worst_promise,mean_gap,n_cells,max_used,lw_ex_p99,lw_ex_max,lw_ratio_max,B0_base,eta,gam_base
CAPG-G1200-B360-e0.9,capped,0.7272678266967635,1093.7809044867754,1200.0,0.805052927517875,15,0.924636026819547,282.64390949219444,1105.1092856824398,18.969982752304528,360.0,0.9,0.0
CAPG-G300-B360-e0.9,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,360.0,0.9,0.0
CAPG-G600-B360-e0.9,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,360.0,0.9,0.0
CAPG-G1200-B360-e0.95,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,360.0,0.95,0.0
CAPG-G300-B360-e0.95,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,360.0,0.95,0.0
CAPG-G600-B360-e0.95,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,360.0,0.95,0.0
CAPG-G1200-B480-e0,capped,0.30666714509282017,178.8845456391573,285.0,0.582578360114257,15,0.7573497263369737,132.37748157978058,204.4844261109829,4.006779765488081,480.0,0.0,0.0
CAPG-G300-B480-e0,capped,0.30666714509282017,178.8845456391573,285.0,0.582578360114257,15,0.7573497263369737,132.37748157978058,204.4844261109829,4.006779765488081,480.0,0.0,0.0
CAPG-G600-B480-e0,capped,0.30666714509282017,178.8845456391573,285.0,0.582578360114257,15,0.7573497263369737,132.37748157978058,204.4844261109829,4.006779765488081,480.0,0.0,0.0
CAPG-G1200-B480-e0.25,capped,0.6124952619483574,219.92661401629448,380.0,0.7242514515188477,15,0.8328224848966594,339.5316994339228,702.7417403459549,5.14732867417694,480.0,0.25,0.0
CAPG-G300-B480-e0.25,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,480.0,0.25,0.0
CAPG-G600-B480-e0.25,capped,0.6107931802145056,219.92661401629448,380.0,0.7237287982974239,15,0.8454026301453511,340.2421896457672,507.24157808721066,5.14732867417694,480.0,0.25,0.0
CAPG-G1200-B480-e0.5,capped,0.7227816073473808,328.4515072852373,570.0,0.7871315286072311,15,0.915928803111116,324.4014265716087,1099.1145637333393,7.362423170015639,480.0,0.5,0.0
CAPG-G300-B480-e0.5,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,480.0,0.5,0.0
CAPG-G600-B480-e0.5,capped,0.7227816073473808,328.4515072852373,570.0,0.7716843513503008,15,0.8721919236083825,450.1054176270962,523.3151541650295,7.362423170015639,480.0,0.5,0.0
CAPG-G1200-B480-e0.75,capped,0.7272678266967635,594.0850183069706,1140.0,0.8050392740800658,15,0.928112972714007,270.3024998126925,1113.7355672568085,13.862030705552096,480.0,0.75,0.0
CAPG-G300-B480-e0.75,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,480.0,0.75,0.0
CAPG-G600-B480-e0.75,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,480.0,0.75,0.0
CAPG-G1200-B480-e0.9,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,480.0,0.9,0.0
CAPG-G300-B480-e0.9,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,480.0,0.9,0.0
CAPG-G600-B480-e0.9,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,480.0,0.9,0.0
CAPG-G1200-B480-e0.95,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,480.0,0.95,0.0
CAPG-G300-B480-e0.95,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,480.0,0.95,0.0
CAPG-G600-B480-e0.95,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,480.0,0.95,0.0
CAPG-G1200-B600-e0,capped,0.36931054647286055,212.0439104884863,315.0,0.6277086833425591,15,0.7880653869112333,159.16916182249787,236.41961607337,4.4098121470806735,600.0,0.0,0.0
CAPG-G300-B600-e0,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.0,0.0
CAPG-G600-B600-e0,capped,0.36931054647286055,212.0439104884863,315.0,0.6277086833425591,15,0.7880653869112333,159.16916182249787,236.41961607337,4.4098121470806735,600.0,0.0,0.0
CAPG-G1200-B600-e0.25,capped,0.6820119099771432,283.45787212252617,420.0,0.7448307255221491,15,0.8394779599098486,366.4923616051674,736.9132351875305,5.812594403471841,600.0,0.25,0.0
CAPG-G300-B600-e0.25,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.25,0.0
CAPG-G600-B600-e0.25,capped,0.6766823409655925,283.45787212252617,420.0,0.7434678216533193,15,0.8462697428464889,368.0135931819679,507.7618457078934,5.812594403471841,600.0,0.25,0.0
CAPG-G1200-B600-e0.5,capped,0.7256544650290203,382.5833091288805,630.0,0.794992192360669,15,0.9159166922296088,318.642767338008,1099.1000306755304,8.180390580728334,600.0,0.5,0.0
CAPG-G300-B600-e0.5,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.5,0.0
CAPG-G600-B600-e0.5,capped,0.7256544650290203,382.5833091288805,600.0,0.7769524091613553,15,0.8576485766967138,450.1446529477834,514.5891460180283,8.180390580728334,600.0,0.5,0.0
CAPG-G1200-B600-e0.75,capped,0.7272678266967635,692.9160160422325,1200.0,0.8059282869155295,15,0.9254576581840712,262.5793523746726,1110.5491898208857,15.806756896118046,600.0,0.75,0.0
CAPG-G300-B600-e0.75,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.75,0.0
CAPG-G600-B600-e0.75,capped,0.723790236370106,490.5263593941927,600.0,0.7782001374661136,15,0.8567153809467951,450.3200090676546,514.0292285680771,9.041937505702291,600.0,0.75,0.0
CAPG-G1200-B600-e0.9,capped,0.7272678266967635,1093.7809044867754,1200.0,0.8050571570355827,15,0.924656199614207,282.64390949219444,1105.1092856824398,18.969982752304528,600.0,0.9,0.0
CAPG-G300-B600-e0.9,capped,0.36931054647286055,212.0439104884863,300.0,0.6234833994846494,15,0.7880653869112333,159.16916182249787,236.41961607337,4.705043241100704,600.0,0.9,0.0
