rep0_W,rep1_W,rep2_W,rep3_W,rep4_W,copies
2939.900806028396,3305.243653368205,3356.6713372319937,2745.737961165607,3695.216354638338,38
3114.5439988151193,3322.820281367749,3356.6713372319937,2788.833469711244,3755.8746726363897,39
3114.5439988151193,3325.062253382057,3445.3902938067913,3126.5580251812935,3758.2144176214933,40
3141.8962037935853,3374.008240662515,3547.319149464369,3129.2561102062464,3782.074474826455,41
3143.68918479234,3724.516747098416,3775.595262259245,3136.5267141908407,3886.636681482196,42
3229.8797444328666,3741.8604391030967,3777.162165954709,3163.6950104683638,3936.141682624817,43
3334.4419510886073,3749.1922231279314,4171.021673679352,3231.468904145062,4148.679499402642,44
3334.4419510886073,3791.4592021219432,4197.346866965294,3231.9032171443105,4360.629695430398,45
3404.0655395314097,3804.30673808977,4212.063436925411,3291.4345351774246,4571.811838448048,46
3457.3956911861897,3833.2042733691633,4261.447594806552,3331.2736418712884,4725.808134563267,47
3614.5461335256696,3848.03336038813,4261.447594806552,3420.0191740989685,4752.513150550425,48
3614.5461335256696,3868.3310024105012,4287.772788092494,3467.882107168436,4838.890908189118,49
3616.278476268053,3871.298798378557,4333.669049158692,3469.81902615726,4942.570026837289,50
3643.9205262586474,3931.8188071250916,4380.021423235536,3470.732615157962,4972.331963680685,51
3709.2334187477827,3946.3895613364875,4557.953933395445,3675.024698123336,4999.981002658606,52
3812.039379402995,3972.7147546224296,4773.880930960178,3714.300670132041,5027.86758363992,53
3904.803585320711,3983.3419126085937,4820.628759011626,3893.7249478697777,5027.86758363992,54
4022.0675764232874,4021.963406758383,4821.067546024919,3920.2345581501722,5055.2797176241875,55
4208.193608596921,4051.354835530743,4821.067546024919,3934.09956112504,5078.95715983212,56
4337.843207731843,4165.9062728937715,4821.067546024919,3938.051117092371,5086.180656731129,57
4548.269924759865,4225.930181821808,4854.0503868516535,4336.254769831896,5189.430945381522,58
4549.782765746117,4488.805400352925,4863.53875788115,4346.162606805563,5402.519546374679,59
4641.947071865201,4491.106046330184,5046.032332634553,4740.084136545658,5494.44694750011,60
4702.772079899907,4656.696905812249,5083.268904319033,4740.935703530908,5731.688128709793,61
4730.695204883814,4662.476314803585,5091.699259286746,4740.935703530908,5749.031820714474,62
4817.072962522507,4668.071574797854,5158.773977741599,4884.711761265993,5777.109515994787,63
5026.389807552099,4785.57797720097,5159.883849740028,4885.821633264422,5808.897081241012,64
