trace,level,rho_target,k,policy,score,G,B0,eta,Bmax,Ncap,p99_dl_s,gap_closed,gap_lo,gap_hi,red_pct,red_lo,red_hi,mean_s,mean_gap,mean_gap_lo,mean_gap_hi,mean_red_pct,p99_all_s,max_excess_s,harm_wf1s_s,max_heavy_s,qw_fired,used_over_allowed,guar_excess_s
primary,1,0.8,5.0,SPJF-tweedie_itr,tweedie_itr,-1.0,-1.0,-1.0,0.0,-1,43.43895592689533,0.884221104402728,0.8612128615235101,0.8976130387794901,63.47644999645829,57.91864904396811,67.20875497254625,1.2316754569705757,0.914623305573679,0.8834426585781602,0.9298399106493179,70.37402412208701,29.602837060697397,2691.2412124574184,330.4254977107048,3131.8871370330453,0.0,,inf
primary,1,0.8,5.0,SPJF-r1s,r1s,-1.0,-1.0,-1.0,0.0,-1,42.82420189231649,0.8913536942472206,0.870046020174409,0.903810591451507,63.98808573972067,58.503053507272895,67.73945451939503,1.2301993226415122,0.9150962431857778,0.889021618829891,0.9286030652317243,70.41027521614981,29.344964699029948,2657.6554315947,889.86887550354,3098.1726822406054,0.0,,inf
primary,1,0.8,5.0,FIX-G300,tweedie,300.0,720.0,0.0,720.0,0,53.97091666623959,0.7613722422467205,0.719809305787471,0.7837941178695216,54.660387563109985,50.789177864682,56.49665311173085,2.0547423555257547,0.6577812089229425,0.6257933806154242,0.7113944155738022,50.60753052431576,34.75124077742548,214.12334376573563,186.3497669696808,1166.8650972545147,0.1092242480828834,0.7137444792191188,300.0
primary,1,0.8,5.0,CAP-G300,tweedie,300.0,37.5,0.5,720.0,0,56.76448271963757,0.7280924753569413,0.6872148853396491,0.7496438843348533,52.28519852836356,48.32311530163804,54.18144964594505,2.088955579950532,0.6470785083278934,0.6161780477626297,0.6986836790937826,49.78606882385957,36.14962898105385,207.28671178221705,109.58623504638672,1166.866762444377,0.12488701508411734,0.6909557059407234,300.0
primary,1,0.8,5.0,SKIP-G300,tweedie,300.0,-1.0,0.0,0.0,12,119.14882075857415,0.0025304331521945334,-0.0010885262651754758,0.00780169514845339,0.17823780626726443,-0.08484205048973648,0.5300511631819171,4.0380193937730935,0.03819939063508259,0.03159691976266797,0.04898450802230699,2.9375359769833738,83.04562117903689,64.1550784856081,58.70837204158306,1023.494454279542,0.816580601422557,0.2138502616186936,300.0
primary,1,0.8,5.0,FIX-G600,tweedie,600.0,2220.0,0.0,2220.0,0,47.0459130358697,0.8418214321286814,0.8236075586418168,0.8535110868873742,60.43936571587839,55.58822095652594,63.581298230199096,1.5393082931481783,0.8186898915773281,0.8029119628519178,0.8364602232806332,62.99047669983842,31.776290035218018,512.8666014373302,446.7270012497902,1460.805646583438,0.01114296352538662,0.8547776690622171,600.0
primary,1,0.8,5.0,CAP-G600,tweedie,600.0,37.5,0.9,2220.0,0,47.144988680184056,0.8406475183750693,0.8213726256849221,0.8527261819184004,60.35536834579053,55.43645145091283,63.45577189130087,1.5326207638646898,0.8207411166860181,0.8042661658129938,0.8380459111929672,63.14934454929845,31.771683573633435,512.8666014373302,276.85049602389336,1460.8057289123535,0.01149454185935694,0.8547776690622171,600.0
primary,1,0.8,5.0,SKIP-G600,tweedie,600.0,-1.0,0.0,0.0,37,118.67390530005119,0.00806108085286332,-0.0018382324218739804,0.023949419196364678,0.5754258106890753,-0.14165859721534202,1.6429849862453652,3.8659110504388865,0.09203189082889571,0.07747323399934118,0.1155466619125823,7.077428117094321,80.0283536491991,97.53764317929743,63.39530985057354,1024.8384877741337,0.7466091766916446,0.1625627386321624,600.0
primary,1,0.8,5.0,FIX-G1200,tweedie,1200.0,5220.0,0.0,5220.0,0,45.38594195887457,0.861297280063261,0.8419675522968838,0.872934879476611,61.834849959293045,56.72999076387419,65.20712597331779,1.3870010681745417,0.8661497280574924,0.8452974511091994,0.8802068745347337,66.64359973231171,30.818953871965412,1110.9289231747389,469.25615863502026,2063.6457236409187,0.00209520641653366,0.9257741026456158,1200.0
primary,1,0.8,5.0,CAP-G1200,tweedie,1200.0,150.0,0.9,5220.0,0,45.36074616670619,0.8616314023263264,0.841625416182867,0.8734134752166405,61.85799879362236,56.757462433358825,65.20832797081867,1.3732067018420504,0.8705080138290949,0.8493523529906273,0.8837318274984093,66.97718556298481,30.7910258767009,1110.9280886724591,320.1511428803205,2063.6422294080257,0.0024731034124613597,0.9257734072270491,1200.0
primary,1,0.8,5.0,SKIP-G1200,tweedie,1200.0,-1.0,0.0,0.0,87,117.52364528507034,0.021719614691505414,0.003384910748091827,0.07107453824935513,1.5516685666653234,0.23175228768894296,4.728679369805483,3.6197714457265335,0.16901095941250371,0.1441754242400471,0.20811430496027958,12.997689282132933,73.28841862684497,133.093740478158,83.54642413556576,1026.9662918150425,0.6644324074148865,0.1109114503984649,1200.0
