overlay,level,k,policy,mode,late_submissions,n_jobs,n_dropped,offered_work_s,p99_dl_s,p99_dl_realised_window_s,n_dl_recorded,n_dl_realised,mean_s,p99_all_s,max_s,max_heavy_s,max_excess_s,harm_s,fired_fraction_queue_weighted,fired_pct,max_fcfs_own_s,seconds,drift_mean_s,drift_p50_s,drift_p99_s,drift_max_s,share_arriving_past_deadline,dl_arrivals_per_hour_mean,dl_arrivals_per_hour_p99,dl_arrivals_per_hour_max,busy_hour_work_s,rho_busy_hour,span_days,bound_violations,worst_ratio_to_bound,bmax_s,gap_closed,reduction_pct
0,1,5,SPJF-E,closed,dropped,17531895,102865,7004073.74224,27.967071539999996,27.958648329999992,4177103,4180240,0.6364339360567697,20.336363059999996,3130.265189,3130.265189,2824.757891,502.429517,0.0,0.0,343.809829,1.8,93.45014835630484,31.128058,698.569053,3234.841574,0.0,1135.0823369565217,7847.150000000001,12129.0,14167.473423999958,0.7870818568888865,208.32048956768517,,nan,,0.7782138923644297,34.584139442521405
1,1,5,SPJF-E,closed,dropped,17533507,101253,7005147.056348,25.11123903999998,25.098168199999993,4178715,4181661,0.5899045161122644,18.866360460000212,1894.675948,1894.675948,1751.3439,270.551643,0.0,0.0,352.780095,1.8,88.85922383347776,31.892088,651.551987,2665.022357,0.0,1123.008599838753,7831.400000000008,12648.0,13375.239611000085,0.7430688672777824,208.32048956768517,,nan,,0.8890832521869749,41.24575087060953
2,1,5,SPJF-E,closed,dropped,17534036,100724,7004906.364056,25.898637559999866,25.885342849999994,4179244,4182130,0.5939127667825593,18.76588764999988,1948.91657,1948.91657,1878.679121,536.742593,0.0,0.0,388.735978,1.7,85.46707895289805,25.671954,637.31489,2506.31053,0.0,1123.452688172043,8003.539999999998,12013.0,12811.489584000114,0.7117494213333396,208.32048956768517,,nan,,0.8574753685730824,37.096003367899215
0,1,5,FCFS,closed,kept,17634760,0,7048760.541504,42.690491800000196,43.00715283000004,4219556,4141168,1.2900516271141202,35.551103690000026,356.587525,355.530406,0.0,0.0,1.0,100.0,356.587525,1.8,207.52843590570606,56.918294,1584.381192360001,3904.172332,0.00821281378368631,1141.654761904762,7846.350000000012,12256.0,13547.48796799994,0.7526382204444411,208.32048956768517,,nan,,0.0,0.0
1,1,5,FCFS,closed,kept,17634760,0,7048760.541504,41.69958470000008,41.98766665999991,4219556,4141675,1.2735548839216977,35.40295572000003,358.814183,358.577452,0.0,0.0,1.0,100.0,358.814183,1.8,211.01327633929407,61.040282,1636.251189,3722.783143,0.008201132309143986,1130.036422067488,7783.990000000007,12861.0,13788.490676999918,0.7660272598333288,208.32048956768517,,nan,,0.0,0.0
2,1,5,FCFS,closed,kept,17634760,0,7048760.541504,42.0556786500002,42.30326616000001,4219556,4139547,1.2984768463691596,35.62907207000001,425.631479,420.068141,0.0,0.0,1.0,100.0,425.631479,1.7,212.22246227257722,52.495028,1710.297633,4269.08738,0.008321632956728643,1130.9450549450548,7999.499999999992,12069.0,12891.432378999982,0.7161906877222212,208.32048956768517,,nan,,0.0,0.0
0,1,5,Guard(600),closed,kept,17634760,0,7048760.541504,27.691320950000033,27.72134992999993,4219556,4178538,0.6508295704537516,20.047536330000018,937.139639,916.585711,491.158149,270.828671,0.0014769707532757135,0.003668890305283429,489.40618,7.0,96.01582106087936,31.060194,743.355898,3078.643805,0.005927611149797332,1143.8210897262131,7860.039999999995,12252.0,14493.73252199991,0.8052073623333283,208.32048956768517,0,0.8751211427457495,2220.0,0.7916274400183916,35.13468741533705
1,1,5,Guard(600),closed,kept,17634760,0,7048760.541504,26.116711850000033,26.080680700000013,4219556,4179972,0.6206312015531824,19.22235656,840.958969,840.958969,488.723543,265.906198,0.0012041688665178866,0.003016769153648816,378.581067,7.3,92.61666671655617,31.526052,717.0105737500027,2831.109069,0.005848619431168896,1133.0708915145005,7851.519999999999,12792.0,13619.430913000151,0.7566350507222306,208.32048956768517,0,0.8723210912899602,2220.0,0.8060909714682069,37.369371810554306
2,1,5,Guard(600),closed,kept,17634760,0,7048760.541504,26.622420350000052,26.61031048,4219556,4180359,0.6268447702521611,19.15833041,838.498433,838.498433,505.539223,213.708889,0.0013385675852473557,0.0028806743046120276,400.499087,6.8,91.22452854627078,26.544359,715.247499,2375.242651,0.005821060224238946,1133.375235025517,7998.799999999997,12139.0,13297.81417000005,0.7387674538888916,208.32048956768517,0,0.8734426459635616,2220.0,0.8294137436275708,36.697204266848935
0,1,5,SJF,closed,kept,17634760,0,7048760.541504,23.74323190000015,23.75848462999999,4219556,4186602,0.5665999718599516,17.716477250000004,2517.954339,2517.954339,1958.594692,961.050765,0.0,0.0,752.208003,2.0,80.09789372499525,29.159562,554.4777277500019,3003.017826,0.005446515858452284,1144.4415513967995,7883.0999999999985,12304.0,13612.40873099994,0.7562449294999967,208.32048956768517,,nan,,1.0,44.38285693396476
