policy,mean_s,p99_s,p999_s,max_s,p99_heavy_s,max_heavy_s,frac_waiting,max_excess_fcfs_s,fire_rate,trace,cap,rho,k,L,gap_p99,gap_mean,busy_hour_load,n,bound_violation_s,bound_slack_med_L
SPJF-tweedie,523.8923889930593,13369.489548492471,67117.10572543001,261306.2829021787,85985.75730382986,261306.2829021787,0.8769300546232572,246886.60419220058,0.0,azure,window rho=0.95,0.95,3,286.7772170000109,0.6135428877679224,0.9769882057920403,14.632731634476167,456399,,
SPJF-ent-tweedie,555.1069895799338,14580.312853615706,65797.33995330245,265289.96761903365,102242.90919746067,265289.96761903365,0.8774405728321052,251022.64136096754,0.0,azure,window rho=0.95,0.95,3,286.7772170000109,0.5613909539482684,0.9742103429311959,14.632731634476167,456399,,
guard G=2L (B=0s),11502.222907662115,27614.25427324834,28048.98643978102,28141.440182269784,27876.86603465008,28131.62323037372,0.8813779171295292,0.0,1.0,azure,window rho=0.95,0.95,3,286.7772170000109,0.0,0.0,14.632731634476167,456399,-669.1468396666914,2.3333333333333335
guard G=5L (B=2294s),3681.2367633394897,26220.08834489741,28660.64516234841,28905.239682832733,28644.096127019893,28895.531338557368,0.8772061288477845,1059.5858761996496,0.17671817861125902,azure,window rho=0.95,0.95,3,286.7772170000109,0.06004876923109288,0.6960084875994895,14.632731634476167,456399,-374.30020880040524,27.28225048609481
guard G=15L (B=10898s),2060.5761040730954,27961.31563580251,31494.389690655946,31779.760336867766,31461.12174997481,31779.368204773404,0.8768840422525027,3765.132373579312,0.0631662207848834,azure,window rho=0.95,0.95,3,286.7772170000109,-0.014948441390828569,0.8402350024600002,14.632731634476167,456399,-536.5258814208537,48.16066809042613
guard B/k=0.001L (B=1s),11103.085192007102,27443.36063666291,27978.03742600579,28141.704291140428,27877.15401789369,28131.887339244364,0.8808191954846527,190.69900000002235,0.6240942683923497,azure,window rho=0.95,0.95,3,286.7772170000109,0.007360639316812899,0.035520231424859716,14.632731634476167,456399,-478.7346168836699,2.333339063629108
guard B/k=0.01L (B=9s),8882.69142835419,26694.073786968635,27980.279300924656,28144.35705029173,27879.90663084148,28134.5390983955,0.8795768614742802,190.69900000002235,0.5142693125970916,azure,window rho=0.95,0.95,3,286.7772170000109,0.039633521769480706,0.2331184468925141,14.632731634476167,456399,-481.31561183667,2.333515460311382
guard B/k=0.1L (B=86s),6305.782422968102,26219.304563929625,27952.781387718627,28170.16874806187,27905.541687282734,28160.346796165686,0.8776377687067676,190.69900000002235,0.4042778358410075,azure,window rho=0.95,0.95,3,286.7772170000109,0.06008252782575159,0.4624438166634658,14.632731634476167,456399,-507.12556136667104,2.433333333333334
"guard rel eta=0.5 (C0=860s,Bmax=10898s)",2061.5209827262665,27961.2930323097,31494.389690724864,31779.53320283047,31461.121739141225,31779.523121599574,0.8769629206023677,3765.1324824902695,0.061772703270603135,azure,window rho=0.95,0.95,3,286.7772170000109,-0.01494746782527505,0.8401509154215855,14.632731634476167,456399,-536.5257725098963,48.04885588906553
"guard rel eta=0.75 (C0=860s,Bmax=10898s)",2062.0446570833706,27961.31563578404,31494.389690713455,31779.76033683028,31461.12175002282,31779.368204830913,0.8769344367538053,3765.1323735592887,0.06322099741673404,azure,window rho=0.95,0.95,3,286.7772170000109,-0.014948441390033039,0.8401043123729984,14.632731634476167,456399,-536.5258814408771,48.160524742833715
