job_id,actual_wait_ns,exact_shadow_fcfs_wait_ns,exact_guard_upper_bound_ns,exact_excess_ns,bound_slack_ns,production_shadow_rounding_error_ns
379,1183064689300,1004243724700,1304243724700,178820964600,121179035400,4300
380,1183302299900,1004257268800,1304257268800,179045031100,120954968900,-800
381,1183355466900,1004480006200,1304480006200,178875460700,121124539300,4800
382,1183540299500,1004494005400,1304494005400,179046294100,120953705900,-1400
383,1183593002000,1004716436200,1304716436200,178876565800,121123434200,3800
384,1183777912500,1004730346200,1304730346200,179047566300,120952433700,-2200
385,1183830250300,1004952735100,1304952735100,178877515200,121122484800,3900
386,45642700,1003419774100,1303419774100,-1003374131400,1303374131400,-1100
387,97675200,1003641732400,1303641732400,-1003544057200,1303544057200,-2400
388,267962900,1003642164100,1303642164100,-1003374201200,1303374201200,3900
389,320252300,1003863914200,1303863914200,-1003543661900,1303543661900,-2200
390,490507300,1003864254300,1303864254300,-1003373747000,1303373747000,3700
391,4890857200,1003258243200,1303258243200,-998367386000,1298367386000,-2200
392,4970020200,1003258668900,1303258668900,-998288648700,1298288648700,4100
393,7102549300,1003483185000,1303483185000,-996380635700,1296380635700,-2000
394,7328764500,1003483851500,1303483851500,-996155087000,1296155087000,3500
395,1182569348600,1003708686800,1303708686800,178860661800,121139338200,-2800
396,1182796709700,1003708948300,1303708948300,179087761400,120912238600,3700
397,1182900792500,1003934252400,1303934252400,178966540100,121033459900,3600
398,60724900,1003918647600,1303918647600,-1003857922700,1303857922700,-3600
399,134927200,1004143772300,1304143772300,-1004008845100,1304008845100,3700
400,295675400,1004152958800,1304152958800,-1003857283400,1303857283400,-3800
401,369520200,1004377983000,1304377983000,-1004008462800,1304008462800,3000
402,530407700,1004387220700,1304387220700,-1003856813000,1303856813000,-3700
403,26281400,1004034212700,1304034212700,-1004007931300,1304007931300,3300
404,187206200,1004043560600,1304043560600,-1003856354400,1303856354400,-3600
405,1182898141800,1004017283900,1304017283900,178880857900,121119142100,3100
406,1183001971800,1004026653000,1304026653000,178975318800,121024681200,-4000
407,1183356852700,1004474882100,1304474882100,178881970600,121118029400,3900
408,1183460858800,1004484301800,1304484301800,178976557000,121023443000,-3800
409,1183815601500,1004932542800,1304932542800,178883058700,121116941300,4200
410,1183919567300,1004942075300,1304942075300,178977492000,121022508000,-4300
411,1182973220500,1004088219200,1304088219200,178885001300,121114998700,3800
412,1183076798300,1004097741400,1304097741400,178979056900,121020943100,-4400
413,1183846868300,1004960566100,1304960566100,178886302200,121113697800,3900
414,1183950188900,1004970015100,1304970015100,178980173800,121019826200,-5100
415,1184720318700,1005832994900,1305832994900,178887323800,121112676200,5100
416,1184823770500,1005842333900,1305842333900,178981436600,121018563400,-4900
417,1185593560100,1006705218000,1306705218000,178888342100,121111657900,5000
418,437036700,1006715016100,1306715016100,-1006277979400,1306277979400,-5100
419,515770500,1006947166400,1306947166400,-1006431395900,1306431395900,-4400
420,669744900,1007179678000,1307179678000,-1006509933100,1306509933100,-5000
421,748799300,1007411779200,1307411779200,-1006662979900,1306662979900,-4200
422,868541000,1007357883000,1307357883000,-1006489342000,1306489342000,6000
423,947663300,1007424432300,1307424432300,-1006476769000,1306476769000,-5300
