pool,original_swf_hour,valid,utilisation,arrivals,offered_work_ratio
old_CE2,5677.104722222222,True,0.7410466269841269,11,0.6077380952380952
old_CE2,5678.104722222222,True,0.7006994047619048,15,0.8940724206349207
old_CE2,5679.104722222222,True,0.5563789682539683,5,0.08109623015873016
old_CE2,5680.104722222222,True,0.39526785714285717,5,0.00010416666666666667
old_CE2,5681.104722222222,True,0.34219742063492065,5,0.002420634920634921
old_CE2,5682.104722222222,True,0.24070436507936507,5,0.0004464285714285714
old_CE2,5683.104722222222,True,0.06146329365079365,4,6.944444444444444e-05
old_CE2,5684.104722222222,True,0.02319940476190476,5,7.440476190476191e-05
old_CE2,5685.104722222222,True,0.0029216269841269844,6,0.002921626984126984
old_CE2,5686.104722222222,True,3.472222222222222e-05,2,3.472222222222222e-05
old_CE2,5687.104722222222,True,0.0,0,0.0
old_CE2,5688.104722222222,True,0.0,0,0.0
old_CE2,5689.104722222222,True,0.0,0,0.0
old_CE2,5690.104722222222,True,0.0,0,0.0
old_CE2,5691.104722222222,True,0.0,0,0.0
old_CE2,5692.104722222222,True,9.92063492063492e-06,1,9.92063492063492e-06
old_CE2,5693.104722222222,True,0.1289781746031746,35,2.4850942460317462
old_CE2,5694.104722222222,True,0.7304761904761905,20,1.3460863095238096
old_CE2,5695.104722222222,True,0.8654464285714286,15,0.6748164682539682
old_CE2,5696.104722222222,True,0.8929265873015872,10,0.0758234126984127
old_CE2,5697.104722222222,True,0.892876984126984,3,4.464285714285714e-05
old_CE2,5698.104722222222,True,0.8272569444444444,22,1.576438492063492
old_CE2,5699.104722222222,True,0.6320486111111111,10,0.5387549603174603
old_CE2,5700.104722222222,True,0.5266418650793651,5,0.00010912698412698413
old_CE2,5701.104722222222,True,0.5000694444444445,4,6.944444444444444e-05
old_CE2,5702.104722222222,True,0.4344146825396825,4,6.944444444444444e-05
old_CE2,5703.104722222222,True,0.21002480158730158,4,7.936507936507937e-05
old_CE2,5704.104722222222,True,0.05499503968253968,4,6.944444444444444e-05
old_CE2,5705.104722222222,True,0.003774801587301587,5,0.002475198412698413
old_CE2,5706.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5707.104722222222,True,8.928571428571429e-05,5,8.928571428571429e-05
old_CE2,5708.104722222222,True,0.06442460317460318,26,1.728953373015873
old_CE2,5709.104722222222,True,0.37411706349206353,5,0.06785218253968255
old_CE2,5710.104722222222,True,0.3750694444444444,5,6.944444444444444e-05
old_CE2,5711.104722222222,True,0.375421626984127,12,0.00042162698412698415
old_CE2,5712.104722222222,True,0.35665178571428574,16,0.0007242063492063492
old_CE2,5713.104722222222,True,0.23038194444444443,7,0.0002132936507936508
old_CE2,5714.104722222222,True,0.022807539682539683,24,0.0006398809523809524
old_CE2,5715.104722222222,True,0.09334821428571428,38,0.09979662698412699
old_CE2,5716.104722222222,True,0.013521825396825397,42,0.007435515873015873
old_CE2,5717.104722222222,True,0.006587301587301587,37,0.08351686507936508
old_CE2,5718.104722222222,True,0.021527777777777778,24,0.0036706349206349206
old_CE2,5719.104722222222,True,0.019766865079365082,23,0.0019097222222222222
old_CE2,5720.104722222222,True,0.020416666666666666,34,0.0025595238095238097
old_CE2,5721.104722222222,True,0.028913690476190475,37,0.07726686507936507
old_CE2,5722.104722222222,True,0.03677083333333333,41,0.17925099206349207
old_CE2,5723.104722222222,True,0.061582341269841266,42,0.008010912698412698
old_CE2,5724.104722222222,True,0.05700396825396825,35,0.011344246031746032
old_CE2,5725.104722222222,True,0.062033730158730156,28,0.005768849206349206
old_CE2,5726.104722222222,True,0.04065476190476191,30,0.006150793650793651
old_CE2,5727.104722222222,True,0.026215277777777775,22,0.001954365079365079
old_CE2,5728.104722222222,True,0.003908730158730158,38,0.0036160714285714286
old_CE2,5729.104722222222,True,0.008095238095238095,39,0.008169642857142858
old_CE2,5730.104722222222,True,0.003204365079365079,28,0.0031299603174603174
old_CE2,5731.104722222222,True,0.00189484126984127,30,0.0018948412698412697
old_CE2,5732.104722222222,True,0.0034722222222222225,45,0.003472222222222222
old_CE2,5733.104722222222,True,0.0032390873015873014,33,0.0032390873015873014
old_CE2,5734.104722222222,True,0.0033184523809523807,40,0.003318452380952381
old_CE2,5735.104722222222,True,0.0018253968253968255,32,0.0018253968253968255
old_CE2,5736.104722222222,True,0.0022569444444444442,30,0.0022569444444444442
old_CE2,5737.104722222222,True,0.00034722222222222224,13,0.00034722222222222224
old_CE2,5738.104722222222,True,9.424603174603175e-05,5,9.424603174603175e-05
old_CE2,5739.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5740.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5741.104722222222,True,0.022812500000000003,9,0.09871031746031746
old_CE2,5742.104722222222,True,0.03566468253968254,4,6.944444444444444e-05
old_CE2,5743.104722222222,True,0.026378968253968255,39,0.007574404761904762
old_CE2,5744.104722222222,True,0.026413690476190476,35,0.0055456349206349205
old_CE2,5745.104722222222,True,0.014632936507936508,64,0.01400297619047619
old_CE2,5746.104722222222,True,0.007921626984126984,61,0.009856150793650794
old_CE2,5747.104722222222,True,0.003993055555555556,10,0.002058531746031746
old_CE2,5748.104722222222,True,8.432539682539683e-05,5,9.424603174603175e-05
old_CE2,5749.104722222222,True,0.011726190476190475,7,0.011716269841269842
old_CE2,5750.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5751.104722222222,True,7.44047619047619e-05,4,7.440476190476191e-05
old_CE2,5752.104722222222,True,0.00016865079365079366,7,0.00016865079365079366
old_CE2,5753.104722222222,True,0.0034623015873015872,5,0.0034623015873015872
old_CE2,5754.104722222222,True,0.00039186507936507937,5,0.00039186507936507937
old_CE2,5755.104722222222,True,0.00011904761904761906,7,0.00011904761904761905
old_CE2,5756.104722222222,True,6.448412698412698e-05,4,6.448412698412699e-05
old_CE2,5757.104722222222,True,0.00018353174603174602,6,0.00018353174603174602
old_CE2,5758.104722222222,True,6.944444444444444e-05,4,6.944444444444444e-05
old_CE2,5759.104722222222,True,0.003908730158730158,10,0.3446378968253968
old_CE2,5760.104722222222,True,0.017946428571428568,4,8.928571428571429e-05
old_CE2,5761.104722222222,True,0.018933531746031747,20,0.0011259920634920635
old_CE2,5762.104722222222,True,0.024796626984126983,66,0.006889880952380952
old_CE2,5763.104722222222,True,0.23337797619047618,103,2.4087003968253966
old_CE2,5764.104722222222,True,0.23956349206349206,75,0.015902777777777776
old_CE2,5765.104722222222,True,0.23662698412698413,97,0.040500992063492065
old_CE2,5766.104722222222,True,0.21696924603174603,82,0.018214285714285714
old_CE2,5767.104722222222,True,0.22242063492063494,121,0.04531746031746032
old_CE2,5768.104722222222,True,0.2305952380952381,100,0.01630952380952381
old_CE2,5769.104722222222,True,0.2503422619047619,143,0.06041666666666667
old_CE2,5770.104722222222,True,0.24140376984126985,156,0.037003968253968254
old_CE2,5771.104722222222,True,0.2141170634920635,121,0.017688492063492062
old_CE2,5772.104722222222,True,0.2125892857142857,130,0.01691964285714286
old_CE2,5773.104722222222,True,0.21521329365079364,150,0.024345238095238097
old_CE2,5774.104722222222,True,0.17878472222222222,106,0.01689980158730159
old_CE2,5775.104722222222,True,0.13230654761904762,83,0.018432539682539682
old_CE2,5776.104722222222,True,0.06259424603174603,66,0.008308531746031746
old_CE2,5777.104722222222,True,0.06874007936507937,93,0.015262896825396825
old_CE2,5778.104722222222,True,0.07055059523809523,113,0.016884920634920635
