pool,policy,n,n_busy,mean,p99,p99_busy,max_excess,harm,heavy_p99,heavy_max,overall_p99_lo,overall_p99_hi,overall_mean_lo,overall_mean_hi,busy_p99_lo,busy_p99_hi,busy_mean_lo,busy_mean_hi,mean_reduction,mean_gap,p99_reduction,p99_gap,p99_busy_reduction,p99_busy_gap,mean_gap_lo,mean_gap_hi,mean_gap_valid,mean_reduction_lo,mean_reduction_hi,mean_reduction_valid,p99_gap_lo,p99_gap_hi,p99_gap_valid,p99_reduction_lo,p99_reduction_hi,p99_reduction_valid,p99_busy_gap_lo,p99_busy_gap_hi,p99_busy_gap_valid,p99_busy_reduction_lo,p99_busy_reduction_hi,p99_busy_reduction_valid
CE1,Constant-5L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Age-5L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Skip-5L,66538,44563,288.6492079713848,10017.630000000005,10245.0,31598.0,11355.0,22356.519999999997,57899.0,3559.9124999999804,12507.0,126.38848523921486,533.8772557788441,3587.05775000008,12130.0,127.66824657937943,601.248443790872,0.2873462287122408,0.6899555459728766,0.136516164845482,0.40155573754282553,0.011958723116983316,0.05868433506862281,0.5308809093309904,0.8480037136257063,2000,0.14968473926342518,0.43521909298502237,2000,0.18500442361549652,0.8881141528717418,2000,0.03269507644213549,0.4882257751415745,2000,-0.9318300133105832,0.861764178283916,1995,-0.14694433284779174,0.3442594417881299,2000
CE1,Constant-10L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Age-10L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
CE1,Skip-10L,66538,44563,288.738585469957,9911.0,10233.759999999995,31598.0,11355.0,22356.519999999997,57899.0,3545.079999999981,12561.0,126.38848523921486,533.750235535233,3587.05775000008,12137.036249999997,127.66824657937943,601.0312531593485,0.2871255622088632,0.6894256970916224,0.1457072890278016,0.42859098757388575,0.013042723502749043,0.06400378608613594,0.5291470610495336,0.8480037136257063,2000,0.149870146973042,0.434928399306832,2000,0.17755993304268913,0.8798812228364155,2000,0.033221260798630844,0.4894279300880191,2000,-0.9881840716376004,0.8639395102022042,1995,-0.13202501637465527,0.3442594417881299,2000
old_CE2,FCFS,50272,29704,372.3279360280076,10800.29,12925.700000000012,0.0,0.0,79662.52,80829.0,0.0,39496.043,13.008712637308488,1013.1498818500171,0.0,60067.77249999999,4.001139504841871,1508.9112877749412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000,0.0,0.0,2000,0.0,0.0,1882,0.0,0.0,1884,0.0,0.0,1808,0.0,0.0,1815
old_CE2,SJF,50272,29704,257.5885980267346,4379.580000000002,10893.520000000019,80219.0,22742.0,60224.32000000002,82074.0,0.0,31097.643999998058,7.604539066441472,745.6750342415485,0.0,40938.833749999976,1.9194948088125268,1156.48901151269,0.3081674161367306,1.0,0.5944942219144114,1.0,0.1572201118701495,1.0,1.0,1.0,2000,0.21504872747470172,0.5327647064960956,2000,1.0,1.0,1882,0.09418055418083988,0.9698907147988561,1884,1.0,1.0,1808,0.02803671649610696,0.9909334839721585,1815
old_CE2,SPJF-E,50272,29704,331.4097509548059,9021.870000000003,12243.220000000147,42084.0,347.0,79737.36000000002,82313.0,0.0,34012.806249999994,8.4172644788874,921.0414854901798,0.0,58639.2437499998,2.0173429042561293,1455.1267200439236,0.10989824053955422,0.3566186260613406,0.1646640969825809,0.2769818291123565,0.05280023519034671,0.3358363924454858,0.33797783525911107,0.7815797853264687,2000,0.07501116804029093,0.3411322067153151,2000,0.09140200951453308,0.9502879006395212,1882,0.02233689060561148,0.8508639805841082,1884,-0.2929958231908808,1.0,1808,-0.029612831650675558,0.982722012344775,1815
old_CE2,SPJF-log,50272,29704,321.3090786123488,9083.160000000003,12950.520000000019,80266.0,347.0,61101.520000000004,82679.0,0.0,37318.741249999985,8.453274164543105,883.9821847192219,0.0,49850.594999999375,1.9953288949466519,1361.3169169027412,0.13702667052042272,0.4446500938945,0.15898924936274839,0.2674361558145435,-0.0019202054821021441,-0.012213485025936222,0.31788719629739254,0.7731749489590313,2000,0.12341972811207927,0.33623344084142043,2000,0.057072845290189064,0.9950569850407873,1882,0.012435478843184874,0.8707599434141235,1884,-0.18212944612496434,1.308223917568297,1808,-0.03858308489296016,0.9696118627012488,1815
