overlay,level,k,policy,family,promise_s,bmax_or_skip,sigma_s,bound_abs_tight_s,bound_abs_old_s,max_wait_s,ratio_max_wait_over_tight,shift_per_job_s,min_slack_old_s,min_slack_tight_s,per_job_violations_tight,needs_rerun
2,0,8,Skip(1200),skip,1200.0,N=146,3123.856186,1537.982023,1642.98202325,383.804139,0.2496,52.5,1174.45862,1121.95862,0,False
2,1,5,FCFS,fcfs,0.0,,4094.313913,866.862783,866.8627826000001,806.673183,0.9306,0.0,36.668645,36.668645,0,False
2,1,5,Guard(300),work,300.0,B_max=720,4094.313913,1070.862783,1166.8627826,952.32363,0.8893,96.0,154.393171,58.393171,0,False
2,1,5,Guard-age(300),work,300.0,B_max=720,4094.313913,1070.862783,1166.8627826,952.32363,0.8893,96.0,154.393171,58.393171,0,False
2,1,5,Guard-fixed(300),work,300.0,B_max=720,4094.313913,1070.862783,1166.8627826,888.585226,0.8298,96.0,208.210692,112.210692,0,False
2,1,5,Guard-queue(300),work,300.0,B_max=720,4094.313913,1070.862783,1166.8627826,950.188312,0.8873,96.0,154.378144,58.378144,0,False
2,1,5,Fixed(300),work,300.0,B_max=720,4094.313913,1070.862783,1166.8627826,950.188312,0.8873,96.0,157.35397,61.35397,0,False
2,1,5,Skip(300),skip,300.0,N=17,4094.313913,1070.862783,1166.8627826,807.442116,0.754,48.0,286.1839192,238.183919,0,False
2,1,5,Guard(600),work,600.0,B_max=2220,4094.313913,1370.862783,1466.8627826,1266.498314,0.9239,96.0,160.2926846,64.292685,0,False
2,1,5,Guard-age(600),work,600.0,B_max=2220,4094.313913,1370.862783,1466.8627826,1266.498314,0.9239,96.0,160.2926846,64.292685,0,False
2,1,5,Guard-fixed(600),work,600.0,B_max=2220,4094.313913,1370.862783,1466.8627826,1051.604488,0.7671,96.0,346.98929239999995,250.989292,0,False
2,1,5,Guard-queue(600),work,600.0,B_max=2220,4094.313913,1370.862783,1466.8627826,1263.347844,0.9216,96.0,159.998959,63.998959,0,False
2,1,5,Fixed(600),work,600.0,B_max=2220,4094.313913,1370.862783,1466.8627826,1253.307063,0.9142,96.0,158.94353819999998,62.943538,0,False
2,1,5,Skip(600),skip,600.0,N=42,4094.313913,1370.862783,1466.8627826,808.599526,0.5898,48.0,569.0556892000001,521.055689,0,False
2,1,5,Guard(1200),work,1200.0,B_max=5220,4094.313913,1970.862783,2066.8627825999997,1854.810575,0.9411,96.0,158.3366656,62.336666,0,False
2,1,5,Guard-queue(1200),work,1200.0,B_max=5220,4094.313913,1970.862783,2066.8627825999997,1854.810575,0.9411,96.0,158.3366656,62.336666,0,False
2,1,5,Guard-fixed(1200),work,1200.0,B_max=5220,4094.313913,1970.862783,2066.8627825999997,1319.999899,0.6698,96.0,695.9103124,599.910312,0,False
2,1,5,Guard-age(1200),work,1200.0,B_max=5220,4094.313913,1970.862783,2066.8627825999997,1840.553799,0.9339,96.0,153.3048336,57.304834,0,False
2,1,5,Fixed(1200),work,1200.0,B_max=5220,4094.313913,1970.862783,2066.8627825999997,1840.527821,0.9339,96.0,167.37639240000001,71.376392,0,False
2,1,5,Skip(1200),skip,1200.0,N=92,4094.313913,1970.862783,2066.8627825999997,810.712096,0.4113,48.0,1091.0480877999998,1043.048088,0,False
2,2,4,FCFS,fcfs,0.0,,4578.356237,1189.589059,1189.58905925,1130.63053,0.9504,0.0,32.62737175,32.627372,0,False
2,2,4,Guard(300),work,300.0,B_max=600,4578.356237,1399.589059,1489.58905925,1280.691033,0.915,90.0,137.20072725,47.200727,0,False
2,2,4,Guard-age(300),work,300.0,B_max=600,4578.356237,1399.589059,1489.58905925,1280.691033,0.915,90.0,137.20072725,47.200727,0,False
2,2,4,Guard-fixed(300),work,300.0,B_max=600,4578.356237,1399.589059,1489.58905925,1213.155692,0.8668,90.0,206.53531325,116.535313,0,False
2,2,4,Guard-queue(300),work,300.0,B_max=600,4578.356237,1399.589059,1489.58905925,1280.687873,0.915,90.0,137.924759,47.924759,0,False
2,2,4,Fixed(300),work,300.0,B_max=600,4578.356237,1399.589059,1489.58905925,1280.674479,0.915,90.0,137.925544,47.925544,0,False
