[a] tight absolute bound, per (overlay, level, policy)
  ov       2 lv 1 k=5 Guard-age(300)          B_max=720 bound   1070.9 s (old   1166.9) max wait    952.3 ratio 0.8893 min slack    58.39 viol 0
  ov       2 lv 1 k=5 Guard-fixed(300)        B_max=720 bound   1070.9 s (old   1166.9) max wait    888.6 ratio 0.8298 min slack   112.21 viol 0
  ov       2 lv 1 k=5 Guard-queue(300)        B_max=720 bound   1070.9 s (old   1166.9) max wait    950.2 ratio 0.8873 min slack    58.38 viol 0
  ov       2 lv 1 k=5 Fixed(300)              B_max=720 bound   1070.9 s (old   1166.9) max wait    950.2 ratio 0.8873 min slack    61.35 viol 0
  ov       2 lv 1 k=5 Skip(300)                    N=17 bound   1070.9 s (old   1166.9) max wait    807.4 ratio 0.7540 min slack   238.18 viol 0
  ov       2 lv 1 k=5 Guard(600)             B_max=2220 bound   1370.9 s (old   1466.9) max wait   1266.5 ratio 0.9239 min slack    64.29 viol 0
  ov       2 lv 1 k=5 Guard-age(600)         B_max=2220 bound   1370.9 s (old   1466.9) max wait   1266.5 ratio 0.9239 min slack    64.29 viol 0
  ov       2 lv 1 k=5 Guard-fixed(600)       B_max=2220 bound   1370.9 s (old   1466.9) max wait   1051.6 ratio 0.7671 min slack   250.99 viol 0
  ov       2 lv 1 k=5 Guard-queue(600)       B_max=2220 bound   1370.9 s (old   1466.9) max wait   1263.3 ratio 0.9216 min slack    64.00 viol 0
  ov       2 lv 1 k=5 Fixed(600)             B_max=2220 bound   1370.9 s (old   1466.9) max wait   1253.3 ratio 0.9142 min slack    62.94 viol 0
  ov       2 lv 1 k=5 Skip(600)                    N=42 bound   1370.9 s (old   1466.9) max wait    808.6 ratio 0.5898 min slack   521.06 viol 0
  ov       2 lv 1 k=5 Guard(1200)            B_max=5220 bound   1970.9 s (old   2066.9) max wait   1854.8 ratio 0.9411 min slack    62.34 viol 0
  ov       2 lv 1 k=5 Guard-queue(1200)      B_max=5220 bound   1970.9 s (old   2066.9) max wait   1854.8 ratio 0.9411 min slack    62.34 viol 0
  ov       2 lv 1 k=5 Guard-fixed(1200)      B_max=5220 bound   1970.9 s (old   2066.9) max wait   1320.0 ratio 0.6698 min slack   599.91 viol 0
  ov       2 lv 1 k=5 Guard-age(1200)        B_max=5220 bound   1970.9 s (old   2066.9) max wait   1840.6 ratio 0.9339 min slack    57.30 viol 0
  ov       2 lv 1 k=5 Fixed(1200)            B_max=5220 bound   1970.9 s (old   2066.9) max wait   1840.5 ratio 0.9339 min slack    71.38 viol 0
