overlay,level,k,policy,n,sigma_s,bound_abs_s,bound_prearrival_s,max_wait_s,ratio_max_wait_over_bound_abs,per_job_violations,ties,min_slack_s,promise_named_s,promise_own_s,violations_own_constant,bound_kind,sim_seconds
1,0,8,Skip(1200),17634760,2950.075879,1621.259484875,1620.97223325,357.269573,0.22036544817965747,0,0,1180.4350365,1200.0,1200.0,0,non-strict,11.1
1,1,5,FCFS,17634760,4288.436287,905.6872574,905.6029963999999,850.54647,0.9391171875838297,0,0,36.6486488,0.0,0.0,0,non-strict,9.7
1,1,5,SJF,17634760,4288.436287,,,2755.850901,,,,,,,,none,10.5
1,1,5,SPJF-E,17634760,4288.436287,,,3048.719459,,,,,,,,none,10.2
1,1,5,Aging(600),17634760,4288.436287,,,868.428958,,,,,,,,none,9.7
1,1,5,Guard(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,994.561845,0.82489205960816,0,0,165.169461,300.0,300.0,0,strict,20.2
1,1,5,Guard-age(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,994.561845,0.82489205960816,0,0,165.169461,300.0,300.0,0,strict,20.2
1,1,5,Guard-fixed(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,933.146056,0.7739536519713076,0,0,206.662184,300.0,300.0,0,strict,19.2
1,1,5,Guard-queue(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,994.059947,0.8244757841628325,0,0,161.8169224,300.0,300.0,0,strict,19.8
1,1,5,Fixed(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,994.059831,0.824475687952145,0,0,157.7680486,300.0,300.0,0,strict,20.5
1,1,5,Skip(300),17634760,4288.436287,1205.6872574000001,1205.6029964000002,851.228676,0.7060111739387782,0,0,286.1839192,300.0,300.0,0,non-strict,11.1
1,1,5,Guard(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,1292.441051,0.8583728424664823,0,0,164.5706764,600.0,600.0,0,strict,20.1
1,1,5,Guard-age(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,1292.441051,0.8583728424664823,0,0,164.5706764,600.0,600.0,0,strict,20.1
1,1,5,Guard-fixed(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,1095.648944,0.7276736510953485,0,0,356.6377862,600.0,600.0,0,strict,19.7
1,1,5,Guard-queue(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,1297.773452,0.8619143488276424,0,0,157.5747354,600.0,600.0,0,strict,21.7
1,1,5,Fixed(600),17634760,4288.436287,1505.6872574000001,1505.6029964000002,1297.771087,0.8619127781163355,0,0,160.0074592,600.0,600.0,0,strict,20.6
