trace,reps,rho,metric,pair,d_gain,lo,hi,resolved,verdict,wait,wait_base,d_wait_pct
primary,"0,1",0.8,mean,SPJF-tweedie - SPJF-M4,0.004261220571396551,0.002451726947085009,0.0069488035264641925,True,SPJF-tweedie better,1.2018651880638884,1.2158426588119644,-1.1496118059991232
primary,"0,1",0.8,mean,ORACLE-on-true-heavy - SPJF-M4,0.06807655292657078,0.054839810358203525,0.09704721018433965,True,ORACLE-on-true-heavy better,0.9950503118639671,1.2158426588119644,-18.159615090635164
primary,"0,1",0.8,mean,ORACLE-on-true-light - SPJF-M4,0.04131527255945944,0.03385029847510075,0.059101936065681676,True,ORACLE-on-true-light better,1.0817250881934615,1.2158426588119644,-11.030832784692153
primary,"0,1",0.8,mean,ORACLE-top0.1pct-under - SPJF-M4,0.023692270168482965,0.01934565191312475,0.028533233908977114,True,ORACLE-top0.1pct-under better,1.1391215790004057,1.2158426588119644,-6.310115807790883
primary,"0,1",0.8,mean,ORACLE-top0.1pct-over - SPJF-M4,0.0023244324909593717,0.0018299289340426822,0.003212400816402064,True,ORACLE-top0.1pct-over better,1.2082782527848581,1.2158426588119644,-0.6221533660035986
primary,"0,1",0.8,mean,ORACLE-top1.0pct-under - SPJF-M4,0.06843484357962093,0.05558302889518895,0.09652959872310005,True,ORACLE-top1.0pct-under better,0.9938952450982752,1.2158426588119644,-18.254616426319547
primary,"0,1",0.8,mean,ORACLE-top1.0pct-over - SPJF-M4,0.019649294695635477,0.014302491069859424,0.031127179255629144,True,ORACLE-top1.0pct-over better,1.1520131171174666,1.2158426588119644,-5.249819228819258
primary,"0,1",0.8,mean,SPJF-M4refit - SPJF-M4,-0.00040164274412779477,-0.001230946440656877,0.0001126024281706466,False,unresolved,1.2171217266183856,1.2158426588119644,0.10520010933577453
primary,"0,1",0.8,mean,SPJF-l2raw - SPJF-M4,-0.009671739285183278,-0.013702050139337615,-0.006702747274765623,True,SPJF-M4 better,1.2470768779317045,1.2158426588119644,2.568935946881481
primary,"0,1",0.8,mean,SPJF-gamma - SPJF-M4,3.779382224222694e-05,-0.001166089600996606,0.002612974313380435,False,unresolved,1.2157394885955486,1.2158426588119644,-0.008485490755574091
