trace,level,metric,quantity,pair,label,diff,lo,hi,resolved,verdict
primary,1,p99dl,gain,CAP-G600 - SKIP-G600,capped relative vs finite skip at G = 600 s,0.8289261184776553,0.797885797518904,0.8464153396025023,True,CAP-G600 better
primary,1,p99dl,red_pct,CAP-G600 - SKIP-G600,capped relative vs finite skip at G = 600 s,59.520043742158634,53.80488727784392,62.92586781788805,True,CAP-G600 better
primary,1,p99dl,gain,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.00014411300607187864,-0.00033719266139979593,0.0023043956244849536,False,unresolved
primary,1,p99dl,red_pct,SKIP-G600 - SKIPC-G600,"finite skip: dispatch vs completion charge, G = 600 s",0.009760914661199105,-0.025346783938033874,0.16214843234493947,False,unresolved
primary,1,p99dl,gain,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",0.09567285074377863,0.07458425643258189,0.13118719184195538,True,CAP-G1200 better
primary,1,p99dl,red_pct,CAP-G1200 - FIXSEL-G1200,"capped relative vs the BEST FEASIBLE fixed budget, G = 1200 s",6.870208199368754,5.090111472740952,9.814478172491153,True,CAP-G1200 better
primary,1,p99dl,gain,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.00033412226306539505,-0.000746985378779727,0.0013162546147246878,False,unresolved
primary,1,p99dl,red_pct,CAP-G1200 - FIX-G1200,capped relative vs B0 = Bmax at G = 1200 s,0.02314883432931225,-0.05287269887805781,0.0910339070288449,False,unresolved
primary,1,p99dl,gain,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-0.023043606798561433,-0.029248908416103347,-0.016404198009710755,True,SPJF-tweedie better
primary,1,p99dl,red_pct,CAP-G1200 - SPJF-tweedie,"guard vs unguarded, G = 1200 s",-1.6531689885939187,-2.1769518370114773,-1.1267608328044676,True,SPJF-tweedie better
primary,1,p99dl,gain,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-0.8621387290058057,-0.8886949275415968,-0.7971693332020818,True,SPJF-tweedie better
primary,1,p99dl,red_pct,SKIP-G1200 - SPJF-tweedie,finite skip vs unguarded at G = 1200 s,-61.90097143615066,-66.33504225536255,-53.77817979022561,True,SPJF-tweedie better
primary,1,p99dl,gain,CAP-G1200 - SKIP-G1200,capped relative vs finite skip at G = 1200 s,0.8390951222072442,0.7777700076430994,0.862419385450928,True,CAP-G1200 better
