rep,level,k,policy,G,guard,B0_base,eta,gap,red_pct,harm,w_p99_dl,used_over_allowed,feasible_cell
0,0,7.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7162739180475137,40.20078054702939,113.6483734548092,27.99221239477393,0.5970649142066637,True
0,1,5.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7181889286708312,51.159567602959946,102.0427332818508,63.798859088420826,0.6891462385157744,True
0,2,4.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.40395229288571166,32.88336568867648,145.6661161929369,166.83644531458614,0.7285611254473527,True
1,0,8.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7060251547711128,40.324815683707286,99.05699920654295,17.497635629475074,0.6173763878146807,True
1,1,5.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.717272796992499,50.57444181125572,147.63062611222267,59.71133975028987,0.7546521072586377,True
1,2,4.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.4384647003943422,36.09522950934999,171.61468262970448,166.9106187465781,0.733934753437837,False
2,0,8.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7197805712053049,43.07411292208296,100.4076514840126,14.90842013448473,0.5878957302868366,True
2,1,5.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7211826119046987,47.48177647077625,115.56306643784046,57.26283309400066,0.7333399246136347,True
2,2,4.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.5164656176317984,40.67811425887078,159.60494230687618,126.0356343394516,0.7470089752972126,False
3,0,7.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7049239819238339,39.35925365015793,107.9756747931242,24.82561472773538,0.6297259266177814,True
3,1,5.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7036320962589987,47.12515750164551,124.5788933634758,58.08453450471156,0.680773228307565,True
3,2,4.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.4663040829067362,36.58388028879354,133.9377098530531,135.24296103864893,0.788134175191323,True
4,0,8.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7076903721540152,42.16801273462994,113.70203810930252,16.266748286485658,0.6311221906542778,True
4,1,5.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.7230184330728604,50.66653160407536,123.6141283363104,58.99867804318664,0.6795845019320647,True
4,2,4.0,CAP-G300-B120-e0.5,300.0,cap,120.0,0.5,0.42927329045217916,35.391115222728125,132.6860893368721,169.43277290105806,0.7543178580204646,True
0,0,7.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7171663908861122,40.250870469089485,162.62570708990097,27.968765136599487,0.5970649142066637,False
0,1,5.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7357418763276192,52.40993665827332,157.34497119486332,62.165537775456905,0.7463292368749778,False
0,2,4.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.37122224191750136,30.219005926517177,183.2804838567972,173.45942807167708,0.7285611254473527,False
1,0,8.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.700796172008274,40.02616093366073,145.73597933351994,17.585205564200855,0.615531037847201,True
1,1,5.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7263871613802708,51.21708975957985,176.57035683095455,58.93495256543157,0.7546521072586377,False
1,2,4.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.4144492703617016,34.11823464975403,212.0439104884863,172.07426197290417,0.733934753437837,False
2,0,8.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7211627177680257,43.156825264565065,121.55632765591145,14.886758454441996,0.6047963693241278,True
2,1,5.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7425099765855513,48.88594393927976,154.9042506068945,55.7318101084231,0.7223865306874117,False
2,2,4.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.5039070617633074,39.688971219906485,184.184159129858,128.13717357426867,0.7263094958662987,False
3,0,7.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7040315434380492,39.30942457123612,161.05593724548817,24.84601417183876,0.6698806381225586,False
3,1,5.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7227027373340464,48.40239736761684,163.8765630722046,56.681449794471256,0.680786178757747,False
3,2,4.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.4483899794873135,35.17842955610437,194.4836902469397,138.2402639254926,0.7880653869112333,False
4,0,8.0,CAP-G300-B120-e0.75,300.0,cap,120.0,0.75,0.7094334537624901,42.27187494663086,168.7411599010229,16.237534342110134,0.6350622053941091,False
